customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_score_1,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
4849-PYRLQ,Female,1,No     ,No        ,56,Yes         ,Yes             ,DSL            ,Yes                ,No                 ,Yes                ,Two year      ,No              ,Bank transfer (automatic),73.25,California,Fremont               ,37.572273,-121.964583,80,No     ,No               ,0,None   ,8,No             ,Yes           ,17.16,0,2088.8,6125.84,26,Medium,0,3,3,Resolved
6017-PPLPX,Male  ,0,Yes    ,Yes       ,20,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,70.45,California,Daly City             ,37.691561,-122.445202,47,Yes    ,Yes              ,1,None   ,8,No             ,Yes           ,0.0,0,329.79999999999995,1800.75,87,Low,8,1,9,NotResolved
2904-GGUAZ,Female,0,Yes    ,No        ,72,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Two year      ,Yes             ,Bank transfer (automatic),84.05,California,Potrero               ,32.619465,-116.593605,24,Yes    ,Yes              ,8,Offer A,52,Yes            ,Yes           ,0.0,0,1162.8,7215.05,47,High,0,5,5,Resolved
3097-FQTVJ,Female,0,No     ,No        ,41,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,20.0,California,Denair                ,37.524721,-120.757977,23,No     ,No               ,0,Offer B,0,No             ,No            ,0.0,0,413.69,1223.99,21,High,1,3,4,Resolved
8404-VLQFB,Female,0,Yes    ,Yes       ,15,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,Month-to-month,Yes             ,Electronic check         ,25.25,California,California Hot Springs,35.865795,-118.69759,21,Yes    ,Yes              ,1,None   ,0,No             ,No            ,0.0,0,443.25,838.1,59,Medium,0,6,6,Resolved
9677-AVKED,Female,0,No     ,Yes       ,53,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,One year      ,Yes             ,Electronic check         ,84.6,California,La Verne              ,34.144703,-117.770299,55,No     ,No               ,0,None   ,18,Yes            ,Yes           ,0.0,0,770.62,5220.37,60,High,6,0,6,Resolved
7102-JJVTX,Female,0,Yes    ,Yes       ,9,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,One year      ,No              ,Mailed check             ,48.6,California,Escondido             ,33.081478,-117.033814,31,Yes    ,Yes              ,9,Offer E,30,No             ,Yes           ,20.45,0,270.63,672.48,46,Medium,1,5,6,Resolved
4075-WKNIU,Female,0,Yes    ,Yes       ,0,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,No                 ,Two year      ,No              ,Mailed check             ,73.35,California,Bell                  ,33.970343,-118.171368,25,Yes    ,Yes              ,6,Offer E,59,No             ,Yes           ,0.0,0,55.9,789.4,44,High,1,5,6,Resolved
2391-IPLOP,Male  ,0,Yes    ,Yes       ,50,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,No                 ,One year      ,Yes             ,Electronic check         ,69.65,California,Corcoran              ,36.04533,-119.532424,25,Yes    ,Yes              ,6,Offer B,58,No             ,Yes           ,0.0,0,716.0,4158.15,27,High,0,3,3,Resolved
4129-LYCOI,Female,0,No     ,Yes       ,67,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Electronic check         ,104.0,California,Guinda                ,38.830739,-122.196202,28,No     ,No               ,0,None   ,59,Yes            ,Yes           ,0.0,0,840.18,7879.23,39,Medium,1,4,5,Resolved
6402-ZFPPI,Female,1,No     ,No        ,25,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Mailed check             ,102.8,California,Fair Oaks             ,38.652065,-121.25441,75,No     ,No               ,0,None   ,30,No             ,Yes           ,0.0,0,912.5,3572.7,94,Low,9,1,10,Resolved
3721-CNZHX,Male  ,0,No     ,No        ,15,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Mailed check             ,19.8,California,Berkeley              ,37.871416,-122.246597,49,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,83.1,387.7000000000001,28,High,1,3,4,Resolved
5124-EOGYE,Male  ,0,No     ,No        ,31,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,20.45,California,Crestline             ,34.248061,-117.29028,59,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,1071.67,1710.22,35,Medium,0,4,4,Resolved
4713-ZBURT,Male  ,0,No     ,Yes       ,45,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Two year      ,No              ,Bank transfer (automatic),99.7,California,Brisbane              ,37.684694,-122.40712,33,No     ,No               ,0,None   ,12,Yes            ,Yes           ,0.0,0,1059.3,5693.650000000001,38,High,0,4,4,NotResolved
8668-KNZTI,Male  ,0,No     ,No        ,52,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,One year      ,No              ,Electronic check         ,53.75,California,Sacramento            ,38.646209,-121.52446,42,No     ,No               ,0,None   ,3,No             ,Yes           ,43.12,0,2490.8,5238.33,23,Medium,1,3,4,Resolved
8184-WMOFI,Male  ,0,Yes    ,Yes       ,62,Yes         ,No              ,DSL            ,Yes                ,No                 ,Yes                ,One year      ,No              ,Credit card (automatic)  ,71.4,California,Fresno                ,36.739385,-119.753649,47,Yes    ,No               ,0,None   ,25,Yes            ,Yes           ,0.0,0,871.1,5358.400000000001,56,Medium,1,6,7,Resolved
2189-WWOEW,Female,0,No     ,Yes       ,15,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),85.9,California,Keene                 ,35.214982,-118.59049,37,No     ,No               ,0,None   ,13,Yes            ,Yes           ,0.0,0,369.45,1639.0,96,Medium,9,1,10,Resolved
6484-LATFU,Male  ,0,No     ,No        ,68,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,24.55,California,Linden                ,38.047746,-121.030499,20,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,397.12,2054.52,31,Medium,0,4,4,Resolved
6439-GTPCA,Female,0,No     ,No        ,45,Yes         ,Yes             ,Fiber optic    ,Yes                ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,87.25,California,Pismo Beach           ,35.165668,-120.655842,29,No     ,No               ,0,None   ,51,No             ,Yes           ,0.0,0,201.6,4143.3,90,Low,7,0,7,NotResolved
6244-BESBM,Male  ,0,Yes    ,Yes       ,69,Yes         ,No              ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,95.2,California,Geyserville           ,38.731771,-123.064272,61,Yes    ,Yes              ,6,None   ,30,Yes            ,Yes           ,0.0,0,829.38,7501.08,34,High,0,4,4,Resolved
2546-KZAAT,Male  ,0,Yes    ,No        ,52,Yes         ,No              ,DSL            ,No                 ,Yes                ,Yes                ,One year      ,Yes             ,Mailed check             ,75.4,California,San Diego             ,32.802959,-117.027095,28,Yes    ,Yes              ,9,None   ,85,Yes            ,Yes           ,0.0,0,540.8000000000001,4406.25,59,High,1,6,7,NotResolved
