customer_id, gender, senior_citizen, partner, dependents, tenure_months, phone_service, multiple_lines  , internet_service, online_security    , online_backup      , device_protection  , tech_support       , streaming_tv       , streaming_movies   , contract_type , paperless_billing, payment_method           , monthly_charges, total_charges, churn, churn_rate, churn_score_target, cltv, churn_reason                             , count, country      , state     , city                  , zip_code, lat_long                , latitude , longitude  , age, under_30, married, referred_a_friend, number_of_referrals, offer  , avg_monthly_long_distance_charges, avg_monthly_gb_download, streaming_music, premium_tech_support, unlimited_data, total_refunds, total_extra_data_charges, total_long_distance_charges, total_revenue        , customer_status, churn_score_1, churn_category , satisfaction_level, service_count, open_issue_count, close_issue_count, support_interaction_count, resolution_status_open_closed
3224-DFQNQ , Female,              0, Yes    , No        ,            66, Yes          , Yes             , Fiber optic     , Yes                , Yes                , No                 , Yes                , No                 , No                 , One year      , No               , Electronic check         ,           89.0 ,       5898.6 , No   ,          0,                 53, 4488,                                          ,     1, United States, California, Carmel Valley         ,    93924, "36.414611, -121.6386  ", 36.414611, -121.6386  ,  59, No      , Yes    , Yes              ,                  10, None   ,                             37.38,                       8, No             , Yes                 , Yes           ,          0.0 ,                        0,       2467.0800000000004   ,  8365.68             , Stayed         ,            53, 0              , Medium            ,             1,                0,                 6,                         6, Resolved
4432-ADRLB , Male  ,              0, No     , No        ,             2, Yes          , No              , DSL             , No                 , No                 , No                 , No                 , No                 , No                 , Month-to-month, No               , Mailed check             ,           44.65,         74.9 , Yes  ,          1,                 99, 4655, Competitor had better devices            ,     1, United States, California, Montague              ,    96064, "41.759864, -122.379175", 41.759864, -122.379175,  46, No      , No     , No               ,                   0, None   ,                             24.9 ,                      11, No             , No                  , No            ,          0.0 ,                       10,         49.8               ,   134.7              , Churned        ,            91, Competitor     , Low               ,             1,                9,                 1,                        10, NotResolved
0927-LCSMG , Male  ,              0, No     , No        ,             7, Yes          , No              , Fiber optic     , No                 , No                 , Yes                , No                 , No                 , No                 , Month-to-month, No               , Mailed check             ,           74.65,        544.55, Yes  ,          1,                 75, 3331, Competitor offered more data             ,     1, United States, California, San Jose              ,    95129, "37.305622, -122.000887", 37.305622, -122.000887,  23, Yes     , No     , No               ,                   0, Offer E,                             21.58,                      71, Yes            , No                  , No            ,          0.0 ,                       10,        151.06              ,   705.6099999999999  , Churned        ,            75, Competitor     , Medium            ,             1,                7,                 0,                         7, Resolved
4228-ZGYUW , Male  ,              0, No     , No        ,             4, Yes          , Yes             , Fiber optic     , No                 , Yes                , No                 , No                 , No                 , Yes                , Month-to-month, Yes              , Electronic check         ,           90.05,        368.1 , Yes  ,          1,                 98, 3212, Competitor offered more data             ,     1, United States, California, San Francisco         ,    94108, "37.791998, -122.408653", 37.791998, -122.408653,  42, No      , No     , No               ,                   0, Offer E,                             12.24,                      11, Yes            , No                  , No            ,          0.0 ,                       30,         48.96              ,   447.06             , Churned        ,            91, Competitor     , Medium            ,             1,                9,                 1,                        10, Resolved
2276-YDAVZ , Female,              0, No     , No        ,             3, Yes          , Yes             , Fiber optic     , No                 , No                 , No                 , No                 , No                 , No                 , Month-to-month, Yes              , Credit card (automatic)  ,           75.1 ,        270.7 , Yes  ,          1,                 69, 4965, Competitor offered higher download speeds,     1, United States, California, Wofford Heights       ,    93285, "35.690535, -118.552784", 35.690535, -118.552784,  63, No      , No     , No               ,                   0, Offer E,                             26.52,                      10, No             , No                  , Yes           ,          0.0 ,                        0,         79.56              ,   350.26             , Churned        ,            92, Competitor     , Medium            ,             1,                6,                 1,                         7, Resolved
2514-GINMM , Male  ,              0, No     , No        ,             1, Yes          , No              , Fiber optic     , No                 , No                 , No                 , No                 , Yes                , No                 , Month-to-month, Yes              , Electronic check         ,           79.5 ,         79.5 , Yes  ,          1,                 92, 4490, Attitude of service provider             ,     1, United States, California, Dana Point            ,    92629, "33.477923, -117.705314", 33.477923, -117.705314,  60, No      , No     , No               ,                   0, Offer E,                             48.97,                      23, No             , No                  , No            ,          0.0 ,                        0,         48.97              ,   128.47             , Churned        ,            92, Attitude       , Low               ,             1,                9,                 0,                         9, Resolved
6330-JKLPC , Male  ,              0, Yes    , No        ,            11, Yes          , Yes             , Fiber optic     , No                 , Yes                , No                 , No                 , No                 , No                 , Month-to-month, Yes              , Bank transfer (automatic),           80.5 ,        896.9 , Yes  ,          1,                 75, 5119, Product dissatisfaction                  ,     1, United States, California, Somis                 ,    93066, "34.297628, -119.014627", 34.297628, -119.014627,  42, No      , Yes    , Yes              ,                   3, Offer D,                             11.5 ,                      27, No             , No                  , Yes           ,          0.0 ,                        0,        126.5               ,  1023.4              , Churned        ,            75, Dissatisfaction, Low               ,             1,                7,                 0,                         7, Resolved
4325-NFSKC , Male  ,              1, No     , No        ,            19, Yes          , Yes             , Fiber optic     , Yes                , No                 , No                 , No                 , Yes                , No                 , Month-to-month, Yes              , Electronic check         ,           90.6 ,       1660.0 , Yes  ,          1,                 87, 2373, Extra data charges                       ,     1, United States, California, Pacific Palisades     ,    90272, "34.079449, -118.548306", 34.079449, -118.548306,  68, No      , No     , No               ,                   0, Offer D,                             28.12,                      25, No             , No                  , Yes           ,          0.0 ,                        0,        534.28              ,  2194.28             , Churned        ,            87, Price          , Low               ,             1,                8,                 0,                         8, NotResolved
2027-CWDNU , Male  ,              0, Yes    , Yes       ,            18, Yes          , No              , Fiber optic     , No                 , No                 , No                 , Yes                , No                 , Yes                , Month-to-month, Yes              , Electronic check         ,           85.6 ,       1601.5 , No   ,          0,                 63, 5968,                                          ,     1, United States, California, Venice                ,    90291, "33.991782, -118.479229", 33.991782, -118.479229,  45, No      , Yes    , Yes              ,                   1, None   ,                             28.04,                      28, Yes            , Yes                 , Yes           ,          0.0 ,                        0,        504.72              ,  2106.22             , Stayed         ,            63, 0              , High              ,             1,                6,                 0,                         6, Resolved
4289-DTDKW , Male  ,              0, Yes    , No        ,            40, Yes          , Yes             , Fiber optic     , No                 , Yes                , No                 , No                 , Yes                , Yes                , Month-to-month, Yes              , Electronic check         ,          101.3 ,       4113.1 , Yes  ,          1,                 70, 2576, Attitude of support person               ,     1, United States, California, Madera                ,    93637, "36.902954, -120.194274", 36.902954, -120.194274,  54, No      , Yes    , Yes              ,                   1, Offer B,                             22.56,                       4, Yes            , No                  , Yes           ,          0.0 ,                        0,        902.4               ,  5015.5              , Churned        ,            70, Competitor     , Low               ,             1,                7,                 1,                         8, Resolved
7432-FFVAR , Female,              0, Yes    , Yes       ,            46, Yes          , No              , Fiber optic     , No                 , No                 , Yes                , Yes                , No                 , Yes                , One year      , No               , Bank transfer (automatic),           90.95,       4236.6 , No   ,          0,                 38, 5187,                                          ,     1, United States, California, Victorville           ,    92392, "34.486835, -117.362274", 34.486835, -117.362274,  23, Yes     , Yes    , Yes              ,                   2, Offer B,                              6.26,                      48, Yes            , Yes                 , No            ,          0.0 ,                       50,        287.96              ,  4574.56             , Stayed         ,            38, 0              , High              ,             1,                0,                 4,                         4, Resolved
8752-GHJFU , Male  ,              1, Yes    , No        ,            71, Yes          , Yes             , Fiber optic     , Yes                , Yes                , Yes                , Yes                , No                 , No                 , One year      , Yes              , Electronic check         ,           92.0 ,       6585.2 , No   ,          0,                 66, 4322,                                          ,     1, United States, California, Applegate             ,    95703, "38.983388, -120.988814", 38.983388, -120.988814,  70, No      , Yes    , Yes              ,                   7, None   ,                             36.6 ,                      10, No             , Yes                 , Yes           ,          0.0 ,                        0,       2598.6               ,  9183.8              , Stayed         ,            66, 0              , Medium            ,             1,                6,                 0,                         6, Resolved
1779-PWPMG , Female,              1, Yes    , No        ,            72, Yes          , Yes             , Fiber optic     , Yes                , Yes                , Yes                , Yes                , Yes                , Yes                , Two year      , Yes              , Bank transfer (automatic),          114.65,       8333.95, No   ,          0,                 29, 5408,                                          ,     1, United States, California, San Jose              ,    95139, "37.218705, -121.762429", 37.218705, -121.762429,  73, No      , Yes    , Yes              ,                   1, Offer A,                              4.59,                      27, No             , Yes                 , Yes           ,          0.0 ,                        0,        330.48              ,  8664.43             , Stayed         ,            29, 0              , Medium            ,             1,                1,                 3,                         4, Resolved
2683-BPJSO , Male  ,              0, Yes    , No        ,            29, Yes          , Yes             , Fiber optic     , Yes                , Yes                , No                 , No                 , No                 , No                 , Month-to-month, Yes              , Electronic check         ,           84.45,       2467.1 , Yes  ,          1,                 99, 2651, Lack of self-service on Website          ,     1, United States, California, Byron                 ,    94514, "37.83323, -121.601461 ", 37.83323 , -121.601461,  37, No      , Yes    , No               ,                   0, None   ,                             28.37,                      12, No             , No                  , Yes           ,          0.0 ,                        0,        822.73              ,  3289.83             , Churned        ,            91, Dissatisfaction, Low               ,             1,                9,                 0,                         9, Resolved
7951-QKZPL , Female,              0, Yes    , Yes       ,            33, Yes          , Yes             , No              , No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, Two year      , Yes              , Mailed check             ,           24.5 ,        740.3 , Yes  ,          1,                 77, 5194, Product dissatisfaction                  ,     1, United States, California, Saint Helena          ,    94574, "38.581354, -122.296283", 38.581354, -122.296283,  21, Yes     , Yes    , Yes              ,                   1, None   ,                             35.31,                       0, No             , No                  , No            ,         35.05,                        0,       1165.23              ,  1870.48             , Churned        ,            77, Price          , Medium            ,             1,                7,                 1,                         8, NotResolved
5035-PGZXH , Female,              0, No     , No        ,            56, Yes          , Yes             , Fiber optic     , No                 , Yes                , Yes                , No                 , Yes                , Yes                , One year      , Yes              , Electronic check         ,          106.8 ,       5914.4 , No   ,          0,                 49, 6161,                                          ,     1, United States, California, Chico                 ,    95926, "39.745712, -121.84333 ", 39.745712, -121.84333 ,  49, No      , No     , No               ,                   0, None   ,                             32.43,                       2, Yes            , No                  , No            ,          0.0 ,                       30,       1816.08              ,  7760.48             , Stayed         ,            49, 0              , Medium            ,             1,                1,                 5,                         6, Resolved
8580-QVLOC , Female,              1, Yes    , Yes       ,            72, Yes          , Yes             , DSL             , Yes                , Yes                , Yes                , Yes                , Yes                , Yes                , Two year      , No               , Credit card (automatic)  ,           92.45,       6440.25, Yes  ,          1,                 78, 5697, Competitor made better offer             ,     1, United States, California, Merced                ,    95348, "37.40122, -120.514191 ", 37.40122 , -120.514191,  78, No      , Yes    , No               ,                   0, None   ,                             25.77,                       6, No             , Yes                 , Yes           ,          0.0 ,                        0,       1855.44              ,  8295.69             , Churned        ,            78, Competitor     , Low               ,             1,                7,                 1,                         8, Resolved
5567-WSELE , Male  ,              1, Yes    , No        ,             3, Yes          , Yes             , Fiber optic     , No                 , No                 , No                 , No                 , Yes                , Yes                , Month-to-month, Yes              , Electronic check         ,           94.6 ,        279.55, Yes  ,          1,                 87, 3019, Competitor had better devices            ,     1, United States, California, Richmond              ,    94801, "37.945288, -122.383941", 37.945288, -122.383941,  70, No      , Yes    , Yes              ,                   1, Offer E,                             32.31,                      27, No             , No                  , Yes           ,          0.0 ,                        0,         96.93              ,   376.48             , Churned        ,            87, Competitor     , Low               ,             1,                8,                 1,                         9, Resolved
5126-RCXYW , Male  ,              0, Yes    , Yes       ,            54, No           , No phone service, DSL             , No                 , No                 , Yes                , Yes                , No                 , Yes                , Two year      , No               , Credit card (automatic)  ,           46.0 ,       2424.05, No   ,          0,                 71, 4451,                                          ,     1, United States, California, Alhambra              ,    91803, "34.074736, -118.145959", 34.074736, -118.145959,  41, No      , Yes    , No               ,                   0, Offer B,                              0.0 ,                      19, Yes            , Yes                 , No            ,          0.0 ,                       90,          0.0               ,  2514.05             , Stayed         ,            71, 0              , High              ,             1,                7,                 1,                         8, NotResolved
